system,numa,vCPU,bs,dt,in_size,out_size,model,index,time
baseline,1s,16,64bs,bf16,512,128,7B,29,756.86519
baseline,1s,16,1bs,bf16,2048,128,7B,0,31.824135
baseline,1s,16,1bs,bf16,2048,128,7B,1,31.204576
baseline,1s,16,1bs,bf16,2048,128,7B,2,31.153953
baseline,1s,16,1bs,bf16,2048,128,7B,3,31.04399
baseline,1s,16,1bs,bf16,2048,128,7B,4,31.01415
baseline,1s,16,1bs,bf16,2048,128,7B,5,30.988533
baseline,1s,16,1bs,bf16,2048,128,7B,6,30.96512
baseline,1s,16,1bs,bf16,2048,128,7B,7,30.947078
baseline,1s,16,1bs,bf16,2048,128,7B,8,31.239137
baseline,1s,16,1bs,bf16,2048,128,7B,9,31.125927
baseline,1s,16,1bs,bf16,2048,128,7B,10,31.154018
baseline,1s,16,1bs,bf16,2048,128,7B,11,31.251711
baseline,1s,16,1bs,bf16,2048,128,7B,12,31.236406
baseline,1s,16,1bs,bf16,2048,128,7B,13,31.260319
baseline,1s,16,1bs,bf16,2048,128,7B,14,31.171667
baseline,1s,16,1bs,bf16,2048,128,7B,15,31.200261
baseline,1s,16,1bs,bf16,2048,128,7B,16,31.367845
baseline,1s,16,1bs,bf16,2048,128,7B,17,31.312587
baseline,1s,16,1bs,bf16,2048,128,7B,18,31.188202
baseline,1s,16,1bs,bf16,2048,128,7B,19,31.254954
baseline,1s,16,1bs,bf16,2048,128,7B,20,31.016999
baseline,1s,16,1bs,bf16,2048,128,7B,21,30.995421
baseline,1s,16,1bs,bf16,2048,128,7B,22,31.014589
baseline,1s,16,1bs,bf16,2048,128,7B,23,31.083553
baseline,1s,16,1bs,bf16,2048,128,7B,24,30.970332
baseline,1s,16,1bs,bf16,2048,128,7B,25,30.957808
baseline,1s,16,1bs,bf16,2048,128,7B,26,31.288321
baseline,1s,16,1bs,bf16,2048,128,7B,27,31.242317
baseline,1s,16,1bs,bf16,2048,128,7B,28,31.1907
baseline,1s,16,1bs,bf16,2048,128,7B,29,31.102328
baseline,1s,16,1bs,bf16,512,128,7B,0,18.654062
baseline,1s,16,1bs,bf16,512,128,7B,1,18.627098
baseline,1s,16,1bs,bf16,512,128,7B,2,18.60566
baseline,1s,16,1bs,bf16,512,128,7B,3,18.572083
baseline,1s,16,1bs,bf16,512,128,7B,4,18.719584
baseline,1s,16,1bs,bf16,512,128,7B,5,18.590939
baseline,1s,16,1bs,bf16,512,128,7B,6,18.591375
baseline,1s,16,1bs,bf16,512,128,7B,7,18.610975
baseline,1s,16,1bs,bf16,512,128,7B,8,18.957865
baseline,1s,16,1bs,bf16,512,128,7B,9,18.696238
baseline,1s,16,1bs,bf16,512,128,7B,10,18.632429
baseline,1s,16,1bs,bf16,512,128,7B,11,18.626823
baseline,1s,16,1bs,bf16,512,128,7B,12,18.597657
baseline,1s,16,1bs,bf16,512,128,7B,13,18.636545
baseline,1s,16,1bs,bf16,512,128,7B,14,18.673445
baseline,1s,16,1bs,bf16,512,128,7B,15,18.666556
baseline,1s,16,1bs,bf16,512,128,7B,16,18.619806
baseline,1s,16,1bs,bf16,512,128,7B,17,18.743873
baseline,1s,16,1bs,bf16,512,128,7B,18,18.656495
baseline,1s,16,1bs,bf16,512,128,7B,19,18.704745
baseline,1s,16,1bs,bf16,512,128,7B,20,18.673735
baseline,1s,16,1bs,bf16,512,128,7B,21,18.615377
baseline,1s,16,1bs,bf16,512,128,7B,22,18.622319
baseline,1s,16,1bs,bf16,512,128,7B,23,18.671194
baseline,1s,16,1bs,bf16,512,128,7B,24,18.625651
baseline,1s,16,1bs,bf16,512,128,7B,25,18.563506
baseline,1s,16,1bs,bf16,512,128,7B,26,18.606892
baseline,1s,16,1bs,bf16,512,128,7B,27,18.62578
baseline,1s,16,1bs,bf16,512,128,7B,28,18.670335
baseline,1s,16,1bs,bf16,512,128,7B,29,18.656749
sgx,1s,16,1bs,bf16,512,128,7B,0,26.860348
sgx,1s,16,1bs,bf16,512,128,7B,1,27.014093
sgx,1s,16,1bs,bf16,512,128,7B,2,27.187129
sgx,1s,16,1bs,bf16,512,128,7B,3,26.99464
